pos_triplet
"coroner, involve, people"
"conservatory, have, color"
"fan, have, fang"
"someone, build, carbonate"
"person, touch, compassion"
"walk, have, engine"
"gardener, use, gate"
"palace, have, metal"
"flower, eat, food"
"student, require, training"
"person, wear, tombstone"
"kid, use, liner"
"person, use, almanac"
"intern, require, education"
"holder, have, button"
"mugger, have, fur"
"hacker, have, hair"
"slammer, provide, electricity"
"car, use, gas"
"hand, have, member"
"bugler, have, tail"
"pain, hold, people"
"fish, make, noise"
"person, carry, formaldehyde"
"person, touch, daredevil"
"bag, eat, plant"
"person, climb, aerialist"
"kid, like, ringtail"
"cemetery, have, feeling"
"person, hold, titanium"
"person, find, serum"
"person, wear, florescence"
"kayaker, involve, food"
"nutrition, have, shape"
"bride, wear, dress"
"shower, serve, purpose"
